cluster,gene
Basel_keratinocyte,KPNA2
Basel_keratinocyte,AC004562.1
Basel_keratinocyte,IL8
Basel_Stem_Cells,CXCL14
Basel_Stem_Cells,DST
Basel_Stem_Cells,CAV1
Basel_Stem_Cells,IL1R2
Basel_Stem_Cells,CYR61
Basel_Stem_Cells,SERPINE2
Basel_Stem_Cells,CH25H
Basel_Stem_Cells,CALD1
Basel_Stem_Cells,COL17A1
Basel_Stem_Cells,NEDD9
Basel_Stem_Cells,CTNNAL1
Basel_Stem_Cells,GEM
Basel_Stem_Cells,APP
Basel_Stem_Cells,PTRF
Basel_Stem_Cells,SNCA
Basel_Stem_Cells,SELM
Basel_Stem_Cells,IFITM2
Basel_Stem_Cells,TNNT1
Basel_Stem_Cells,TIMP1
Basel_Stem_Cells,DKK3
Basel_Stem_Cells,FBXO2
Basel_Stem_Cells,MOXD1
Basel_Stem_Cells,VIT
Basel_Stem_Cells,DLK2
Basel_Stem_Cells,MYL9
Basel_Stem_Cells,NPPC
Basel_Stem_Cells,CCL2
Basel_Stem_Cells,TNC
Basel_Stem_Cells,LAMB3
Basel_Stem_Cells,CPE
Basel_Stem_Cells,IFNGR1
Basel_Stem_Cells,BOC
Basel_Stem_Cells,STOM
Basel_Stem_Cells,PTHLH
Basel_Stem_Cells,NTRK2
Basel_Stem_Cells,C1R
Basel_Stem_Cells,RAB30
Basel_Stem_Cells,CYBRD1
Basel_Stem_Cells,TFAP2B
Basel_Stem_Cells,MATN2
Basel_Stem_Cells,DCN
Basel_Stem_Cells,SLC16A1
Basel_Stem_Cells,BEX2
Basel_Stem_Cells,EVA1C
Basel_Stem_Cells,IRF1
Basel_Stem_Cells,NRP2
Basel_Stem_Cells,HSPA2
Basel_Stem_Cells,TXNRD1
Basel_Stem_Cells,WNT10A
Basel_Stem_Cells,EMP3
Basel_Stem_Cells,DUSP14
Basel_Stem_Cells,CCND2
Basel_Stem_Cells,NTF3
Basel_Stem_Cells,CDIP1
Basel_Stem_Cells,MLF1
Basel_Stem_Cells,BCAM
Basel_Stem_Cells,SOCS3
Basel_Stem_Cells,SLC6A6
Basel_Stem_Cells,SLC7A5
Basel_Stem_Cells,LSP1
Basel_Stem_Cells,LITAF
Basel_Stem_Cells,THSD4
Basel_Stem_Cells,LAPTM4B
Basel_Stem_Cells,NFIB
Basel_Stem_Cells,BIRC3
Basel_Stem_Cells,POLR1C
Basel_Stem_Cells,FERMT2
Basel_Stem_Cells,STMN1
Basel_Stem_Cells,PDLIM3
Basel_Stem_Cells,MYADM
Basel_Stem_Cells,AAED1
Basel_Stem_Cells,SYT8
Basel_Stem_Cells,TNS4
Basel_Stem_Cells,RAB32
Basel_Stem_Cells,CXCL2
Basel_Stem_Cells,GBP1
Basel_Stem_Cells,ASS1
Basel_Stem_Cells,DEGS1
Basel_Stem_Cells,KIAA0040
Basel_Stem_Cells,GAMT
Basel_Stem_Cells,CCNB1IP1
Basel_Stem_Cells,SPRY2
Basel_Stem_Cells,CD3EAP
Basel_Stem_Cells,BMP2
Basel_Stem_Cells,PFKFB3
Basel_Stem_Cells,LAMA3
Basel_Stem_Cells,ADORA2B
Basel_Stem_Cells,POLR1E
Basel_Stem_Cells,TP53AIP1
Basel_Stem_Cells,PSAT1
Basel_Stem_Cells,FCGRT
Basel_Stem_Cells,RRS1
Basel_Stem_Cells,PCDH7
Basel_Stem_Cells,SERTAD4-AS1
Basel_Stem_Cells,CDH3
Basel_Stem_Cells,RAB34
Basel_Stem_Cells,MSN
Basel_Stem_Cells,CKB
Basel_Stem_Cells,CRTAP
Basel_Stem_Cells,CLU
Basel_Stem_Cells,MAGED2
Basel_Stem_Cells,IGFBP5
Basel_Stem_Cells,SNHG15
Basel_Stem_Cells,TNFRSF21
Basel_Stem_Cells,TXNIP
Basel_Stem_Cells,RBPJ
Basel_Stem_Cells,LGALS1
Basel_Stem_Cells,SLC39A1
Basel_Stem_Cells,PNO1
Basel_Stem_Cells,TPBG
Basel_Stem_Cells,CTSV
Basel_Stem_Cells,EDN1
Basel_Stem_Cells,CXCL3
Basel_Stem_Cells,C12orf45
Basel_Stem_Cells,TM2D3
Basel_Stem_Cells,SRSF1
Basel_Stem_Cells,DUSP6
Basel_Stem_Cells,NINJ1
Basel_Stem_Cells,BST2
Basel_Stem_Cells,ABCE1
Basel_Stem_Cells,TMEM237
Basel_Stem_Cells,CHD1
Basel_Stem_Cells,NCBP2
Basel_Stem_Cells,LINC00675
Basel_Stem_Cells,LAMC2
Basel_Stem_Cells,GPATCH4
